timestamp,team1,team1_shape,team1_player1_name,team1_player2_name,team1_player3_name,team1_player4_name,team1_player5_name,team1_player6_name,team1_player7_name,team1_player8_name,team1_player9_name,team1_player10_name,team1_player11_name,team2,team2_shape,team2_player1_name,team2_player2_name,team2_player3_name,team2_player4_name,team2_player5_name,team2_player6_name,team2_player7_name,team2_player8_name,team2_player9_name,team2_player10_name,team2_player11_name,result,score
"1:30 AM CT,February 6, 2022",CEL,4-4-2_L,Matías Dituro,Javier Galán,José Manuel Fontán,Néstor Araujo,Hugo Mallo,Nolito,Denis Suárez,Renato Tapia,Fran Beltrán,Iago Aspas,Santi Mina,RAY,4-2-3-1_R,Luca Zidane,Fran García,Alejandro Catena,Mario Suárez,Iván Balliu,Santiago Comesaña,Óscar Valentín,Fran García,Óscar Trejo,Isi Palazón,Randy Nteka,1,2-0
"4:00 AM CT,February 6, 2022",OSA,4-4-2_L,Sergio Herrera,Rubén García,David García,Unai García,Nacho Vidal,Enrique García,Lucas Torró,Jon Moncayola,Enrique Barja,Darko Brasanac,Ante Budimir,SEV,3-4-2-1_R,Marko Dmitrovic,Karim Rekik,Diego Carlos,Jules Koundé,Marcos Acuña,Joan Jordán,Fernando1,Jesús Navas,Oussama Idrissi,Óscar Rodríguez,Youssef En-Nesyri,0,0-0
"9:00 PM CT,February 6, 2022",VAL,4-4-2_L,Giorgi Mamardashvili,José Gayà,Omar Alderete,Gabriel2,Thierry Correia,Denis Cheryshev,Hugo Guillamón,Daniel Wass,Carlos Soler,Goncalo Guedes,Maxi Gómez,RSO,4-2-3-1_R,Álex Remiro,Aihen Muñoz,Robin Le Normand,Aritz Elustondo,Joseba Zaldúa,Martín Zubimendi,Mikel Merino,Mikel Oyarzabal,David Silva,Adnan Januzaj,Portu,0,0-0
"11:15 PM CT,February 6, 2022",BAR,4-3-3-d_L,Marc-André ter Stegen,Jordi Alba,Gerard Piqué,Ronald Araújo,Sergiño Dest,Frenkie de Jong,Sergio Busquets,Pedri,Ansu Fati,Memphis Depay,Ousmane Dembélé,ATL,3-1-4-2_R,Jan Oblak,Mario Hermoso,José Giménez,Stefan Savic,Koke,Yannick Carrasco,Marcos Llorente,Rodrigo De Paul,Saúl Ñíguez,João Félix,Ángel Correa,1,4-2
"1:30 AM CT,February 7, 2022",BET,4-2-3-1_L,Rui Silva,Álex Moreno,Víctor Ruiz,Edgar González,Martín Montoya,Sergio Canales,Paul Akouokou,Aitor Ruibal,Nabil Fekir,Rodrigo Sánchez,Borja Iglesias,VIL,4-4-2_R,Sergio Asenjo,Alfonso Pedraza,Pau Torres,Raúl Albiol,Mario,Moi Gómez,Dani Parejo,Francis Coquelin,Samu Chukwueze,Gerard Moreno,Paco Alcácer,-1,0-2
"4:00 AM CT,February 7, 2022",RMA,4-3-3-d_L,Thibaut Courtois,Ferland Mendy,David Alaba,Éder Militão,Dani Carvajal,Toni Kroos,Casemiro,Luka Modric,Vinícius Júnior,Karim Benzema,Marco Asensio,GRA,4-3-3-d_R,Aarón Escandell,Carlos Neva,Domingos Duarte,Germán,Dimitri Foulquier,Luis Milla,Maxime Gonalons,Monchu,Darwin Machis,Luis Suárez2,Antonio Puertas,1,1-0
"4:00 AM CT,February 8, 2022",ATH,4-4-2_L,Unai Simón,Mikel Balenziaga,Iñigo Martínez,Dani Vivian,Óscar de Marcos,Iker Muniain,Dani García,Unai Vencedor,Álex Berenguer,Iñaki Williams,Oihan Sancet,ESP,4-4-2_R,Diego López,Adriá Pedrosa,Leandro Cabrera,Sergi Gómez,Óscar Gil,Nicolás Melamed,Fran Mérida,David López,Adrián Embarba,Raúl de Tomás1,Wu Lei,1,2-1
"4:00 AM CT,February 12, 2022",SEV,3-4-2-1_L,Marko Dmitrovic,Karim Rekik,Diego Carlos,Jules Koundé,Marcos Acuña,Joan Jordán,Fernando1,Jesús Navas,Oussama Idrissi,Óscar Rodríguez,Youssef En-Nesyri,ELC,3-5-2_R,Kiko Casilla,Pedro Bigas,Gonzalo Verdú,Enzo Roco,Johan Mojica,Iván Marcone,Fidel,Raúl Guti,Josan,Lucas Boyé,Pere Milla,1,2-0
"9:00 PM CT,February 12, 2022",CAD,4-2-3-1_L,Jeremias Ledesma,Alfonso Espino,Fali Jiménez,Varazdat Haroyan,Carlos Akapo,Jens Jonsson,Tomás Alarcón,Anthony Lozano,Álex,Salvi,Álvaro Negredo,CEL,4-4-2_R,Matías Dituro,Javier Galán,José Manuel Fontán,Néstor Araujo,Hugo Mallo,Nolito,Denis Suárez,Renato Tapia,Fran Beltrán,Iago Aspas,Santi Mina,0,0-0
"11:15 PM CT,February 12, 2022",VIL,4-4-2_L,Sergio Asenjo,Alfonso Pedraza,Pau Torres,Raúl Albiol,Mario,Moi Gómez,Dani Parejo,Francis Coquelin,Samu Chukwueze,Gerard Moreno,Paco Alcácer,RMA,4-3-3-d_R,Thibaut Courtois,Ferland Mendy,David Alaba,Éder Militão,Dani Carvajal,Toni Kroos,Casemiro,Luka Modric,Vinícius Júnior,Karim Benzema,Marco Asensio,0,0-0
