timestamp,team1,team1_shape,team1_player1_name,team1_player2_name,team1_player3_name,team1_player4_name,team1_player5_name,team1_player6_name,team1_player7_name,team1_player8_name,team1_player9_name,team1_player10_name,team1_player11_name,team2,team2_shape,team2_player1_name,team2_player2_name,team2_player3_name,team2_player4_name,team2_player5_name,team2_player6_name,team2_player7_name,team2_player8_name,team2_player9_name,team2_player10_name,team2_player11_name,result,score
"10:00 PM CT,December 20, 2020",INT,3-4-1-2_L,Samir Handanovic,Aleksandar Kolarov,Alessandro Bastoni,Danilo D'Ambrosio,Ivan Perisic,Marcelo Brozovic,Nicolò Barella,Ashley Young,Christian Eriksen,Lautaro Martínez,Romelu Lukaku,SPE,4-3-3-d_R,Jeroen Zoet ,Juan Ramos,Cristian Dell'Orco,Martin Erlic,Jacopo Sala,Tommaso Pobega,Matteo Ricci,Paolo Bartolomei,Emmanuel Gyasi,Andrej Galabinov,Kevin Agudelo,1,2-1
"10:00 PM CT,December 20, 2020",SAS,4-2-3-1_L,Andrea Consigli,Rogério,Gian Marco Ferrari,Vlad Chiriches,Jeremy Toljan,Manuel Locatelli,Pedro Obiang,Lukas Haraslin,Filip Djuricic,Domenico Berardi,Francesco Caputo,MIL,4-2-3-1_R,Gianluigi Donnarumma,Theo Hernández,Matteo Gabbia,Simon Kjaer,Davide Calabria,Ismaël Bennacer,Franck Kessié,Ante Rebic,Hakan Calhanoglu,Samu Castillejo,Zlatan Ibrahimovic,-1,1-2
"1:00 AM CT,December 21, 2020",ATA,3-4-1-2_L,Marco Sportiello,Bosko Sutalo,Mattia Caldara,Rafael Tolói,Robin Gosens,Remo Freuler,Marten de Roon,Hans Hateboer,Papu Gómez,Duván Zapata,Luis Muriel,ROMA,3-4-2-1_R,Antonio Mirante,Ibañez,Bryan Cristante,Gianluca Mancini,Leonardo Spinazzola,Jordan Veretout,Amadou Diawara,Rick Karsdorp,Lorenzo Pellegrini,Pedro2,Henrikh Mkhitaryan,1,4-1
"3:45 AM CT,December 21, 2020",LAZ,3-5-2_L,Thomas Strakosha,Stefan Radu,Francesco Acerbi,Patric,Adam Marusic,Luis Alberto,Lucas Leiva,Sergej Milinkovic-Savic,Manuel Lazzari,Ciro Immobile,Joaquín Correa,NAP,4-3-3-d_R,David Ospina,Elseid Hysaj,Kalidou Koulibaly,Kostas Manolas,Giovanni Di Lorenzo,Piotr Zielinski,Diego Demme,Fabián Ruiz,Lorenzo Insigne,Dries Mertens,Hirving Lozano,1,2-0
"1:30 AM CT,December 23, 2020",CRO,3-4-1-2_L,Alex Cordaz,Vlasmir Golemic,Luca Marrone,Lisandro Magallán,Antonio Mazzotta,Niccolò Zanellato,Luca Cigarini,Salvatore Molina,Junior Messias,Emmanuel Rivière,Simy,PAR,4-1-2-1-2_R,Luigi Sepe,Giuseppe Pezzella,Bruno Alves,Simone Iacoponi,Matteo Darmian,Gastón Brugman,Hernani,Alberto Grassi,Juraj Kucka,Andreas Cornelius,Yann Karamoh,1,2-1
"3:45 AM CT,December 23, 2020",JUV,3-4-1-2_L,Wojciech Szczesny,Giorgio Chiellini,Leonardo Bonucci,Danilo3,Gianluca Frabotta,Weston McKennie,Adrien Rabiot,Juan Cuadrado,Aaron Ramsey,Cristiano Ronaldo,Dejan Kulusevski,FIO,3-5-2_R,Bartlomiej Dragowski,Martín Cáceres,Federico Ceccherini,Nikola Milenkovic,Cristiano Biraghi,Gaetano Castrovilli,Alfred Duncan,Giacomo Bonaventura,Federico Chiesa,Franck Ribéry,Cristian Kouame,-1,0-3
"1:30 AM CT,December 24, 2020",VER,3-4-2-1_L,Marco Silvestri,Alan Empereur,Koray Günter,Mert Çetin,Federico Dimarco,Andrea Danzi,Miguel Veloso,Davide Faraoni,Lubomir Tupta,Adrien Tamèze,Samuel Di Carmine,INT,3-4-1-2_R,Samir Handanovic,Aleksandar Kolarov,Alessandro Bastoni,Danilo D'Ambrosio,Ivan Perisic,Marcelo Brozovic,Nicolò Barella,Ashley Young,Christian Eriksen,Lautaro Martínez,Romelu Lukaku,-1,1-2
"3:45 AM CT,December 24, 2020",MIL,4-2-3-1_L,Gianluigi Donnarumma,Theo Hernández,Matteo Gabbia,Simon Kjaer,Davide Calabria,Ismaël Bennacer,Franck Kessié,Ante Rebic,Hakan Calhanoglu,Samu Castillejo,Zlatan Ibrahimovic,LAZ,3-5-2_R,Thomas Strakosha,Stefan Radu,Francesco Acerbi,Patric,Adam Marusic,Luis Alberto,Lucas Leiva,Sergej Milinkovic-Savic,Manuel Lazzari,Ciro Immobile,Joaquín Correa,1,3-2
"3:45 AM CT,December 24, 2020",ROMA,3-4-2-1_L,Antonio Mirante,Ibañez,Bryan Cristante,Gianluca Mancini,Leonardo Spinazzola,Jordan Veretout,Amadou Diawara,Rick Karsdorp,Lorenzo Pellegrini,Pedro2,Henrikh Mkhitaryan,CAG,4-1-4-1_R,Alessio Cragno,Charalampos Lykogiannis,Ragnar Klavan,Sebastian Walukiewicz,Paolo Faragò,Razvan Marin,João Pedro3,Marko Rog,Fabrizio Caligara,Nahitan Nández,Giovanni Simeone,1,3-2
"3:45 AM CT,December 24, 2020",BOL,4-2-3-1_L,Lukasz Skorupski,Mitchell Dijks,Takehiro Tomiyasu,Danilo3,Lorenzo De Silvestri,Nicolás Domínguez,Jerdy Schouten,Musa Barrow,Roberto Soriano,Riccardo Orsolini,Rodrigo Palacio,ATA,3-4-1-2_R,Marco Sportiello,Bosko Sutalo,Mattia Caldara,Rafael Tolói,Robin Gosens,Remo Freuler,Marten de Roon,Hans Hateboer,Papu Gómez,Duván Zapata,Luis Muriel,0,2-2
"3:45 AM CT,December 24, 2020",NAP,4-3-3-d_L,David Ospina,Elseid Hysaj,Kalidou Koulibaly,Kostas Manolas,Giovanni Di Lorenzo,Piotr Zielinski,Diego Demme,Fabián Ruiz,Lorenzo Insigne,Dries Mertens,Hirving Lozano,TOR,4-1-2-1-2_R,Salvatore Sirigu,Cristian Ansaldi,Nicolas Nkoulou,Bremer,Armando Izzo,Tomás Rincón,Karol Linetty,Souahilo Meïté,Álex Berenguer,Andrea Belotti,Simone Zaza,0,1-1
"3:45 AM CT,December 24, 2020",SAM,4-1-4-1_L,Emil Audero,Tommaso Augello,Omar Colley,Lorenzo Tonelli,Bartosz Bereszynski,Albin Ekdal,Mehdi Leris,Jakub Jankto,Morten Thorsby,Fabio Depaoli,Federico Bonazzoli,SAS,4-2-3-1_R,Andrea Consigli,Rogério,Gian Marco Ferrari,Vlad Chiriches,Jeremy Toljan,Manuel Locatelli,Pedro Obiang,Lukas Haraslin,Filip Djuricic,Domenico Berardi,Francesco Caputo,-1,2-3
"3:45 AM CT,December 24, 2020",SPE,4-3-3-d_L,Jeroen Zoet ,Juan Ramos,Cristian Dell'Orco,Martin Erlic,Jacopo Sala,Tommaso Pobega,Matteo Ricci,Paolo Bartolomei,Emmanuel Gyasi,Andrej Galabinov,Kevin Agudelo,GEN,3-5-2_R,Mattia Perin,Davide Biraschi,Cristián Zapata,Edoardo Goldaniga,Davide Zappacosta,Miha Zajc,Milan Badelj,Lukas Lerager,Paolo Ghiglione,Mattia Destro,Goran Pandev,-1,1-2
"3:45 AM CT,December 24, 2020",UDI,3-5-2_L,Juan Musso,Samir,Sebastian De Maio,Rodrigo Becão,Marvin Zeegelaar,Mamadou Coulibaly,Tolgay Arslan,Rodrigo De Paul,Hidde ter Avest,Stefano Okaka,Kevin Lasagna,BEN,4-3-3-d_R,Lorenzo Montipò,Daam Foulon,Luca Caldirola,Kamil Glik,Gaetano Letizia,Bryan Dabo,Pasquale Schiattarella,Artur Ionita,Gianluca Caprari,Gabriele Moncini,Roberto Insigne,-1,0-2
"7:30 PM CT,January 3, 2021",INT,3-5-2_L,Samir Handanovic,Stefan de Vrij,Alessandro Bastoni,Milan Skriniar,Ivan Perisic,Marcelo Brozovic,Nicolò Barella,Arturo Vidal,Achraf Hakimi,Lautaro Martínez,Romelu Lukaku,CRO,3-4-1-2_R,Alex Cordaz,Vlasmir Golemic,Luca Marrone,Lisandro Magallán,Antonio Mazzotta,Niccolò Zanellato,Luca Cigarini,Salvatore Molina,Junior Messias,Emmanuel Rivière,Simy,1,6-2
"10:00 PM CT,January 3, 2021",ROMA,3-4-2-1_L,Pau López,Ibañez,Chris Smalling,Gianluca Mancini,Leonardo Spinazzola,Jordan Veretout,Amadou Diawara,Rick Karsdorp,Lorenzo Pellegrini,Henrikh Mkhitaryan,Edin Dzeko,SAM,4-4-1-1_R,Emil Audero,Tommaso Augello,Omar Colley,Lorenzo Tonelli,Bartosz Bereszynski,Jakub Jankto,Morten Thorsby,Albin Ekdal,Antonio Candreva,Valerio Verre,Fabio Quagliarella,1,1-0
"10:00 PM CT,January 3, 2021",ATA,3-4-1-2_L,Marco Sportiello,Bosko Sutalo,Mattia Caldara,Rafael Tolói,Robin Gosens,Remo Freuler,Marten de Roon,Hans Hateboer,Papu Gómez,Duván Zapata,Luis Muriel,SAS,4-2-3-1_R,Andrea Consigli,Rogério,Gian Marco Ferrari,Vlad Chiriches,Jeremy Toljan,Manuel Locatelli,Pedro Obiang,Lukas Haraslin,Filip Djuricic,Domenico Berardi,Francesco Caputo,1,5-1
"10:00 PM CT,January 3, 2021",CAG,4-1-4-1_L,Alessio Cragno,Charalampos Lykogiannis,Ragnar Klavan,Sebastian Walukiewicz,Paolo Faragò,Razvan Marin,João Pedro3,Marko Rog,Fabrizio Caligara,Nahitan Nández,Giovanni Simeone,NAP,4-3-3-d_R,David Ospina,Elseid Hysaj,Kalidou Koulibaly,Kostas Manolas,Giovanni Di Lorenzo,Piotr Zielinski,Diego Demme,Fabián Ruiz,Lorenzo Insigne,Dries Mertens,Hirving Lozano,-1,1-4
"10:00 PM CT,January 3, 2021",FIO,3-5-2_L,Bartlomiej Dragowski,Martín Cáceres,Federico Ceccherini,Nikola Milenkovic,Cristiano Biraghi,Gaetano Castrovilli,Alfred Duncan,Giacomo Bonaventura,Federico Chiesa,Franck Ribéry,Cristian Kouame,BOL,4-2-3-1_R,Lukasz Skorupski,Mitchell Dijks,Takehiro Tomiyasu,Danilo3,Lorenzo De Silvestri,Nicolás Domínguez,Jerdy Schouten,Musa Barrow,Roberto Soriano,Riccardo Orsolini,Rodrigo Palacio,0,0-0
"10:00 PM CT,January 3, 2021",GEN,3-5-2_L,Mattia Perin,Davide Biraschi,Cristián Zapata,Edoardo Goldaniga,Davide Zappacosta,Miha Zajc,Milan Badelj,Lukas Lerager,Paolo Ghiglione,Mattia Destro,Goran Pandev,LAZ,3-5-2_R,Thomas Strakosha,Stefan Radu,Francesco Acerbi,Patric,Adam Marusic,Luis Alberto,Lucas Leiva,Sergej Milinkovic-Savic,Manuel Lazzari,Ciro Immobile,Joaquín Correa,0,1-1
"10:00 PM CT,January 3, 2021",PAR,4-1-2-1-2_L,Luigi Sepe,Giuseppe Pezzella,Bruno Alves,Simone Iacoponi,Matteo Darmian,Gastón Brugman,Hernani,Alberto Grassi,Juraj Kucka,Andreas Cornelius,Yann Karamoh,TOR,4-1-2-1-2_R,Salvatore Sirigu,Cristian Ansaldi,Nicolas Nkoulou,Bremer,Armando Izzo,Tomás Rincón,Karol Linetty,Souahilo Meïté,Álex Berenguer,Andrea Belotti,Simone Zaza,-1,0-3
"10:00 PM CT,January 3, 2021",SPE,4-3-3-d_L,Jeroen Zoet ,Juan Ramos,Cristian Dell'Orco,Martin Erlic,Jacopo Sala,Tommaso Pobega,Matteo Ricci,Paolo Bartolomei,Emmanuel Gyasi,Andrej Galabinov,Kevin Agudelo,VER,3-4-2-1_R,Marco Silvestri,Alan Empereur,Koray Günter,Mert Çetin,Federico Dimarco,Andrea Danzi,Miguel Veloso,Davide Faraoni,Lubomir Tupta,Adrien Tamèze,Samuel Di Carmine,-1,0-1
"1:00 AM CT,January 4, 2021",BEN,4-3-3-d_L,Lorenzo Montipò,Daam Foulon,Luca Caldirola,Kamil Glik,Gaetano Letizia,Bryan Dabo,Pasquale Schiattarella,Artur Ionita,Gianluca Caprari,Gabriele Moncini,Roberto Insigne,MIL,4-2-3-1_R,Gianluigi Donnarumma,Theo Hernández,Matteo Gabbia,Simon Kjaer,Davide Calabria,Ismaël Bennacer,Franck Kessié,Ante Rebic,Hakan Calhanoglu,Samu Castillejo,Zlatan Ibrahimovic,-1,0-2
"3:45 AM CT,January 4, 2021",JUV,3-4-1-2_L,Wojciech Szczesny,Giorgio Chiellini,Leonardo Bonucci,Danilo3,Gianluca Frabotta,Weston McKennie,Adrien Rabiot,Juan Cuadrado,Aaron Ramsey,Cristiano Ronaldo,Dejan Kulusevski,UDI,3-5-2_R,Juan Musso,Samir,Sebastian De Maio,Rodrigo Becão,Marvin Zeegelaar,Mamadou Coulibaly,Tolgay Arslan,Rodrigo De Paul,Hidde ter Avest,Stefano Okaka,Kevin Lasagna,1,4-1
"7:30 PM CT,January 6, 2021",CAG,4-1-4-1_L,Alessio Cragno,Charalampos Lykogiannis,Ragnar Klavan,Sebastian Walukiewicz,Paolo Faragò,Razvan Marin,João Pedro3,Marko Rog,Fabrizio Caligara,Nahitan Nández,Giovanni Simeone,BEN,4-3-3-d_R,Lorenzo Montipò,Daam Foulon,Luca Caldirola,Kamil Glik,Gaetano Letizia,Bryan Dabo,Pasquale Schiattarella,Artur Ionita,Gianluca Caprari,Gabriele Moncini,Roberto Insigne,-1,1-2
"10:00 PM CT,January 6, 2021",ATA,3-4-1-2_L,Marco Sportiello,Bosko Sutalo,Mattia Caldara,Rafael Tolói,Robin Gosens,Remo Freuler,Marten de Roon,Hans Hateboer,Papu Gómez,Duván Zapata,Luis Muriel,PAR,4-1-2-1-2_R,Luigi Sepe,Giuseppe Pezzella,Bruno Alves,Simone Iacoponi,Matteo Darmian,Gastón Brugman,Hernani,Alberto Grassi,Juraj Kucka,Andreas Cornelius,Yann Karamoh,1,3-0
"10:00 PM CT,January 6, 2021",BOL,4-2-3-1_L,Lukasz Skorupski,Mitchell Dijks,Takehiro Tomiyasu,Danilo3,Lorenzo De Silvestri,Nicolás Domínguez,Jerdy Schouten,Musa Barrow,Roberto Soriano,Riccardo Orsolini,Rodrigo Palacio,UDI,3-5-2_R,Juan Musso,Samir,Sebastian De Maio,Rodrigo Becão,Marvin Zeegelaar,Mamadou Coulibaly,Tolgay Arslan,Rodrigo De Paul,Hidde ter Avest,Stefano Okaka,Kevin Lasagna,0,2-2
"10:00 PM CT,January 6, 2021",CRO,3-4-1-2_L,Alex Cordaz,Vlasmir Golemic,Luca Marrone,Lisandro Magallán,Antonio Mazzotta,Niccolò Zanellato,Luca Cigarini,Salvatore Molina,Junior Messias,Emmanuel Rivière,Simy,ROMA,3-4-2-1_R,Antonio Mirante,Ibañez,Bryan Cristante,Gianluca Mancini,Leonardo Spinazzola,Jordan Veretout,Amadou Diawara,Rick Karsdorp,Lorenzo Pellegrini,Pedro2,Henrikh Mkhitaryan,-1,1-3
"10:00 PM CT,January 6, 2021",LAZ,3-5-2_L,Thomas Strakosha,Stefan Radu,Francesco Acerbi,Patric,Adam Marusic,Luis Alberto,Lucas Leiva,Sergej Milinkovic-Savic,Manuel Lazzari,Ciro Immobile,Joaquín Correa,FIO,3-5-2_R,Bartlomiej Dragowski,Martín Cáceres,Federico Ceccherini,Nikola Milenkovic,Cristiano Biraghi,Gaetano Castrovilli,Alfred Duncan,Giacomo Bonaventura,Federico Chiesa,Franck Ribéry,Cristian Kouame,1,2-1
"10:00 PM CT,January 6, 2021",SAM,4-1-4-1_L,Emil Audero,Tommaso Augello,Omar Colley,Lorenzo Tonelli,Bartosz Bereszynski,Albin Ekdal,Mehdi Leris,Jakub Jankto,Morten Thorsby,Fabio Depaoli,Federico Bonazzoli,INT,3-4-1-2_R,Samir Handanovic,Aleksandar Kolarov,Alessandro Bastoni,Danilo D'Ambrosio,Ivan Perisic,Marcelo Brozovic,Nicolò Barella,Ashley Young,Christian Eriksen,Lautaro Martínez,Romelu Lukaku,1,2-1
"10:00 PM CT,January 6, 2021",SAS,4-2-3-1_L,Andrea Consigli,Rogério,Gian Marco Ferrari,Vlad Chiriches,Jeremy Toljan,Manuel Locatelli,Pedro Obiang,Lukas Haraslin,Filip Djuricic,Domenico Berardi,Francesco Caputo,GEN,3-5-2_R,Mattia Perin,Davide Biraschi,Cristián Zapata,Edoardo Goldaniga,Davide Zappacosta,Miha Zajc,Milan Badelj,Lukas Lerager,Paolo Ghiglione,Mattia Destro,Goran Pandev,1,2-1
"10:00 PM CT,January 6, 2021",TOR,4-1-2-1-2_L,Salvatore Sirigu,Cristian Ansaldi,Nicolas Nkoulou,Bremer,Armando Izzo,Tomás Rincón,Karol Linetty,Souahilo Meïté,Álex Berenguer,Andrea Belotti,Simone Zaza,VER,3-4-2-1_R,Marco Silvestri,Alan Empereur,Koray Günter,Mert Çetin,Federico Dimarco,Andrea Danzi,Miguel Veloso,Davide Faraoni,Lubomir Tupta,Adrien Tamèze,Samuel Di Carmine,0,1-1
"1:00 AM CT,January 7, 2021",NAP,4-3-3-d_L,David Ospina,Elseid Hysaj,Kalidou Koulibaly,Kostas Manolas,Giovanni Di Lorenzo,Piotr Zielinski,Diego Demme,Fabián Ruiz,Lorenzo Insigne,Dries Mertens,Hirving Lozano,SPE,4-3-3-d_R,Jeroen Zoet ,Juan Ramos,Cristian Dell'Orco,Martin Erlic,Jacopo Sala,Tommaso Pobega,Matteo Ricci,Paolo Bartolomei,Emmanuel Gyasi,Andrej Galabinov,Kevin Agudelo,-1,1-2
"3:45 AM CT,January 7, 2021",MIL,4-2-3-1_L,Gianluigi Donnarumma,Theo Hernández,Matteo Gabbia,Simon Kjaer,Davide Calabria,Ismaël Bennacer,Franck Kessié,Ante Rebic,Hakan Calhanoglu,Samu Castillejo,Zlatan Ibrahimovic,JUV,3-4-1-2_R,Wojciech Szczesny,Giorgio Chiellini,Leonardo Bonucci,Danilo3,Gianluca Frabotta,Weston McKennie,Adrien Rabiot,Juan Cuadrado,Aaron Ramsey,Cristiano Ronaldo,Dejan Kulusevski,-1,1-3
"10:00 PM CT,January 9, 2021",BEN,4-3-3-d_L,Lorenzo Montipò,Daam Foulon,Luca Caldirola,Kamil Glik,Gaetano Letizia,Bryan Dabo,Pasquale Schiattarella,Artur Ionita,Gianluca Caprari,Gabriele Moncini,Roberto Insigne,ATA,3-4-1-2_R,Marco Sportiello,Bosko Sutalo,Mattia Caldara,Rafael Tolói,Robin Gosens,Remo Freuler,Marten de Roon,Hans Hateboer,Papu Gómez,Duván Zapata,Luis Muriel,-1,1-4
"1:00 AM CT,January 10, 2021",GEN,3-5-2_L,Mattia Perin,Davide Biraschi,Cristián Zapata,Edoardo Goldaniga,Davide Zappacosta,Miha Zajc,Milan Badelj,Lukas Lerager,Paolo Ghiglione,Mattia Destro,Goran Pandev,BOL,4-2-3-1_R,Lukasz Skorupski,Mitchell Dijks,Takehiro Tomiyasu,Danilo3,Lorenzo De Silvestri,Nicolás Domínguez,Jerdy Schouten,Musa Barrow,Roberto Soriano,Riccardo Orsolini,Rodrigo Palacio,1,2-0
"3:45 AM CT,January 10, 2021",MIL,4-2-3-1_L,Gianluigi Donnarumma,Theo Hernández,Matteo Gabbia,Simon Kjaer,Davide Calabria,Ismaël Bennacer,Franck Kessié,Ante Rebic,Hakan Calhanoglu,Samu Castillejo,Zlatan Ibrahimovic,TOR,4-1-2-1-2_R,Salvatore Sirigu,Cristian Ansaldi,Nicolas Nkoulou,Bremer,Armando Izzo,Tomás Rincón,Karol Linetty,Souahilo Meïté,Álex Berenguer,Andrea Belotti,Simone Zaza,1,2-0
"7:30 PM CT,January 10, 2021",ROMA,3-4-2-1_L,Pau López,Ibañez,Chris Smalling,Gianluca Mancini,Leonardo Spinazzola,Jordan Veretout,Amadou Diawara,Rick Karsdorp,Lorenzo Pellegrini,Henrikh Mkhitaryan,Edin Dzeko,INT,3-4-1-2_R,Samir Handanovic,Aleksandar Kolarov,Alessandro Bastoni,Danilo D'Ambrosio,Ivan Perisic,Marcelo Brozovic,Nicolò Barella,Ashley Young,Christian Eriksen,Lautaro Martínez,Romelu Lukaku,0,2-2
"10:00 PM CT,January 10, 2021",VER,3-4-2-1_L,Marco Silvestri,Alan Empereur,Koray Günter,Mert Çetin,Federico Dimarco,Andrea Danzi,Miguel Veloso,Davide Faraoni,Lubomir Tupta,Adrien Tamèze,Samuel Di Carmine,CRO,3-4-1-2_R,Alex Cordaz,Vlasmir Golemic,Luca Marrone,Lisandro Magallán,Antonio Mazzotta,Niccolò Zanellato,Luca Cigarini,Salvatore Molina,Junior Messias,Emmanuel Rivière,Simy,1,2-1
"10:00 PM CT,January 10, 2021",PAR,4-1-2-1-2_L,Luigi Sepe,Giuseppe Pezzella,Bruno Alves,Simone Iacoponi,Matteo Darmian,Gastón Brugman,Hernani,Alberto Grassi,Juraj Kucka,Andreas Cornelius,Yann Karamoh,LAZ,3-5-2_R,Thomas Strakosha,Stefan Radu,Francesco Acerbi,Patric,Adam Marusic,Luis Alberto,Lucas Leiva,Sergej Milinkovic-Savic,Manuel Lazzari,Ciro Immobile,Joaquín Correa,-1,0-2
"10:00 PM CT,January 10, 2021",UDI,3-5-2_L,Juan Musso,Samir,Sebastian De Maio,Rodrigo Becão,Marvin Zeegelaar,Mamadou Coulibaly,Tolgay Arslan,Rodrigo De Paul,Hidde ter Avest,Stefano Okaka,Kevin Lasagna,NAP,4-3-3-d_R,David Ospina,Elseid Hysaj,Kalidou Koulibaly,Kostas Manolas,Giovanni Di Lorenzo,Piotr Zielinski,Diego Demme,Fabián Ruiz,Lorenzo Insigne,Dries Mertens,Hirving Lozano,-1,1-2
"1:00 AM CT,January 11, 2021",FIO,3-5-2_L,Bartlomiej Dragowski,Martín Cáceres,Federico Ceccherini,Nikola Milenkovic,Cristiano Biraghi,Gaetano Castrovilli,Alfred Duncan,Giacomo Bonaventura,Federico Chiesa,Franck Ribéry,Cristian Kouame,CAG,4-1-4-1_R,Alessio Cragno,Charalampos Lykogiannis,Ragnar Klavan,Sebastian Walukiewicz,Paolo Faragò,Razvan Marin,João Pedro3,Marko Rog,Fabrizio Caligara,Nahitan Nández,Giovanni Simeone,1,1-0
"3:45 AM CT,January 11, 2021",JUV,3-4-1-2_L,Wojciech Szczesny,Giorgio Chiellini,Leonardo Bonucci,Danilo3,Gianluca Frabotta,Weston McKennie,Adrien Rabiot,Juan Cuadrado,Aaron Ramsey,Cristiano Ronaldo,Dejan Kulusevski,SAS,4-2-3-1_R,Andrea Consigli,Rogério,Gian Marco Ferrari,Vlad Chiriches,Jeremy Toljan,Manuel Locatelli,Pedro Obiang,Lukas Haraslin,Filip Djuricic,Domenico Berardi,Francesco Caputo,1,3-1
"3:45 AM CT,January 12, 2021",SPE,4-3-3-d_L,Jeroen Zoet ,Juan Ramos,Cristian Dell'Orco,Martin Erlic,Jacopo Sala,Tommaso Pobega,Matteo Ricci,Paolo Bartolomei,Emmanuel Gyasi,Andrej Galabinov,Kevin Agudelo,SAM,4-4-1-1_R,Emil Audero,Tommaso Augello,Omar Colley,Lorenzo Tonelli,Bartosz Bereszynski,Jakub Jankto,Morten Thorsby,Albin Ekdal,Antonio Candreva,Valerio Verre,Fabio Quagliarella,1,2-1
"3:45 AM CT,January 16, 2021",LAZ,3-5-2_L,Thomas Strakosha,Stefan Radu,Francesco Acerbi,Patric,Adam Marusic,Luis Alberto,Lucas Leiva,Sergej Milinkovic-Savic,Manuel Lazzari,Ciro Immobile,Joaquín Correa,ROMA,3-4-2-1_R,Antonio Mirante,Ibañez,Bryan Cristante,Gianluca Mancini,Leonardo Spinazzola,Jordan Veretout,Amadou Diawara,Rick Karsdorp,Lorenzo Pellegrini,Pedro2,Henrikh Mkhitaryan,1,3-0
"10:00 PM CT,January 16, 2021",BOL,4-2-3-1_L,Lukasz Skorupski,Mitchell Dijks,Takehiro Tomiyasu,Danilo3,Lorenzo De Silvestri,Nicolás Domínguez,Jerdy Schouten,Musa Barrow,Roberto Soriano,Riccardo Orsolini,Rodrigo Palacio,VER,3-4-2-1_R,Marco Silvestri,Alan Empereur,Koray Günter,Mert Çetin,Federico Dimarco,Andrea Danzi,Miguel Veloso,Davide Faraoni,Lubomir Tupta,Adrien Tamèze,Samuel Di Carmine,1,1-0
"1:00 AM CT,January 17, 2021",TOR,4-1-2-1-2_L,Salvatore Sirigu,Cristian Ansaldi,Nicolas Nkoulou,Bremer,Armando Izzo,Tomás Rincón,Karol Linetty,Souahilo Meïté,Álex Berenguer,Andrea Belotti,Simone Zaza,SPE,4-3-3-d_R,Jeroen Zoet ,Juan Ramos,Cristian Dell'Orco,Martin Erlic,Jacopo Sala,Tommaso Pobega,Matteo Ricci,Paolo Bartolomei,Emmanuel Gyasi,Andrej Galabinov,Kevin Agudelo,0,0-0
"3:45 AM CT,January 17, 2021",SAM,4-1-4-1_L,Emil Audero,Tommaso Augello,Omar Colley,Lorenzo Tonelli,Bartosz Bereszynski,Albin Ekdal,Mehdi Leris,Jakub Jankto,Morten Thorsby,Fabio Depaoli,Federico Bonazzoli,UDI,3-5-2_R,Juan Musso,Samir,Sebastian De Maio,Rodrigo Becão,Marvin Zeegelaar,Mamadou Coulibaly,Tolgay Arslan,Rodrigo De Paul,Hidde ter Avest,Stefano Okaka,Kevin Lasagna,1,2-1
"7:30 PM CT,January 17, 2021",NAP,4-3-3-d_L,David Ospina,Elseid Hysaj,Kalidou Koulibaly,Kostas Manolas,Giovanni Di Lorenzo,Piotr Zielinski,Diego Demme,Fabián Ruiz,Lorenzo Insigne,Dries Mertens,Hirving Lozano,FIO,3-5-2_R,Bartlomiej Dragowski,Martín Cáceres,Federico Ceccherini,Nikola Milenkovic,Cristiano Biraghi,Gaetano Castrovilli,Alfred Duncan,Giacomo Bonaventura,Federico Chiesa,Franck Ribéry,Cristian Kouame,1,6-0
"10:00 PM CT,January 17, 2021",CRO,3-4-1-2_L,Alex Cordaz,Vlasmir Golemic,Luca Marrone,Lisandro Magallán,Antonio Mazzotta,Niccolò Zanellato,Luca Cigarini,Salvatore Molina,Junior Messias,Emmanuel Rivière,Simy,BEN,4-3-3-d_R,Lorenzo Montipò,Daam Foulon,Luca Caldirola,Kamil Glik,Gaetano Letizia,Bryan Dabo,Pasquale Schiattarella,Artur Ionita,Gianluca Caprari,Gabriele Moncini,Roberto Insigne,1,4-1
"10:00 PM CT,January 17, 2021",SAS,4-2-3-1_L,Andrea Consigli,Rogério,Gian Marco Ferrari,Vlad Chiriches,Jeremy Toljan,Manuel Locatelli,Pedro Obiang,Lukas Haraslin,Filip Djuricic,Domenico Berardi,Francesco Caputo,PAR,4-1-2-1-2_R,Luigi Sepe,Giuseppe Pezzella,Bruno Alves,Simone Iacoponi,Matteo Darmian,Gastón Brugman,Hernani,Alberto Grassi,Juraj Kucka,Andreas Cornelius,Yann Karamoh,0,1-1
"1:00 AM CT,January 18, 2021",ATA,3-4-1-2_L,Marco Sportiello,Bosko Sutalo,Mattia Caldara,Rafael Tolói,Robin Gosens,Remo Freuler,Marten de Roon,Hans Hateboer,Papu Gómez,Duván Zapata,Luis Muriel,GEN,3-5-2_R,Mattia Perin,Davide Biraschi,Cristián Zapata,Edoardo Goldaniga,Davide Zappacosta,Miha Zajc,Milan Badelj,Lukas Lerager,Paolo Ghiglione,Mattia Destro,Goran Pandev,0,0-0
